productid,productname,price,dateofmanufacture,expirationdate,kashrut,categoryid,supplierid
398,Product398,57.18,2025-09-18,2024-09-09,Rabbanut,3,398
399,Product399,49.11,2025-12-10,2024-07-04,Rabbanut,4,399
400,Product400,18.54,2025-07-14,2025-05-10,Rabbanut,5,400
401,Product401,90.33,2025-05-04,2025-04-23,Rabbanut,1,401
402,Product402,62.99,2025-02-06,2024-07-15,Rabbanut,2,402
403,Product403,8.71,2025-05-04,2024-06-05,Rabbanut,3,403
404,Product404,17.68,2024-05-02,2024-12-23,Rabbanut,4,404
405,Product405,52.55,2024-01-20,2024-09-21,Rabbanut,5,405
406,Product406,50.06,2024-09-06,2024-09-30,Rabbanut,1,406
407,Product407,52.37,2024-10-21,2025-06-20,Rabbanut,2,407
408,Product408,62.91,2025-01-22,2024-10-02,Rabbanut,3,408
409,Product409,76.36,2025-11-26,2024-09-23,Rabbanut,4,409
410,Product410,19.29,2025-06-02,2025-12-17,Rabbanut,5,410
411,Product411,34.71,2024-08-08,2024-04-13,Rabbanut,1,411
412,Product412,69.02,2025-06-01,2024-07-10,Rabbanut,2,412
413,Product413,8.75,2024-07-09,2025-08-15,Rabbanut,3,413
414,Product414,31.8,2025-12-20,2025-10-06,Rabbanut,4,414
415,Product415,21.81,2025-07-11,2025-11-08,Rabbanut,5,415
416,Product416,45.97,2024-06-12,2025-04-30,Rabbanut,1,416
417,Product417,84.66,2024-07-05,2024-12-29,Rabbanut,2,417
418,Product418,64.24,2025-11-03,2024-02-12,Rabbanut,3,418
419,Product419,47.24,2024-12-08,2025-03-28,Rabbanut,4,419
420,Product420,24.21,2024-07-15,2024-05-17,Rabbanut,5,420
421,Product421,18.18,2024-05-26,2025-10-17,Rabbanut,1,421
422,Product422,89.29,2025-11-12,2024-11-17,Rabbanut,2,422
423,Product423,42.47,2025-05-08,2024-08-04,Rabbanut,3,423
424,Product424,48.67,2024-04-16,2024-02-10,Rabbanut,4,424
425,Product425,21.82,2024-10-07,2025-07-10,Rabbanut,5,425
426,Product426,75.92,2024-03-30,2024-12-08,Rabbanut,1,426
427,Product427,59.91,2024-03-29,2024-07-25,Rabbanut,2,427
428,Product428,70.67,2024-08-13,2025-01-03,Rabbanut,3,428
429,Product429,62.77,2025-05-19,2025-10-13,Rabbanut,4,429
430,Product430,31.39,2025-09-06,2025-09-28,Rabbanut,5,430
431,Product431,10.17,2025-12-31,2025-09-20,Rabbanut,1,431
432,Product432,67.59,2024-02-29,2025-11-26,Rabbanut,2,432
433,Product433,94.18,2025-05-12,2024-06-12,Rabbanut,3,433
434,Product434,65.57,2025-02-19,2025-01-28,Rabbanut,4,434
435,Product435,54.92,2025-11-16,2025-09-12,Rabbanut,5,435
436,Product436,96.18,2025-02-06,2025-08-02,Rabbanut,1,436
437,Product437,49.63,2025-01-10,2024-01-27,Rabbanut,2,437
438,Product438,71.55,2025-07-13,2024-11-04,Rabbanut,3,438
439,Product439,81.5,2025-06-04,2025-10-18,Rabbanut,4,439
440,Product440,20.88,2025-12-02,2024-05-02,Rabbanut,5,440
441,Product441,66.73,2025-10-01,2025-11-08,Rabbanut,1,441
442,Product442,9.33,2024-06-03,2024-01-27,Rabbanut,2,442
443,Product443,48.09,2024-12-18,2024-02-03,Rabbanut,3,443
444,Product444,73.36,2024-10-24,2024-10-21,Rabbanut,4,444
445,Product445,66.59,2024-05-04,2024-08-20,Rabbanut,5,445
446,Product446,95.37,2024-03-26,2024-02-08,Rabbanut,1,446
447,Product447,85.41,2025-07-18,2024-07-26,Rabbanut,2,447
448,Product448,67.06,2025-03-13,2025-01-07,Rabbanut,3,448
449,Product449,78.83,2025-10-19,2025-03-13,Rabbanut,4,449
450,Product450,8.13,2024-03-23,2024-12-03,Rabbanut,5,450
451,Product451,19.56,2025-12-22,2025-04-26,Rabbanut,1,451
452,Product452,71.2,2024-05-31,2024-07-31,Rabbanut,2,452
453,Product453,20.73,2024-06-18,2024-08-03,Rabbanut,3,453
454,Product454,62.1,2025-06-29,2025-05-28,Rabbanut,4,454
455,Product455,19.87,2025-03-21,2024-12-02,Rabbanut,5,455
456,Product456,66.31,2025-01-29,2025-01-03,Rabbanut,1,456
457,Product457,85.29,2024-12-21,2024-06-29,Rabbanut,2,457
458,Product458,43.77,2025-03-27,2024-02-26,Rabbanut,3,458
459,Product459,14.71,2024-10-02,2024-06-14,Rabbanut,4,459
460,Product460,51.98,2025-01-15,2025-05-01,Rabbanut,5,460
461,Product461,28.8,2024-09-04,2025-02-17,Rabbanut,1,461
462,Product462,78.22,2024-04-07,2025-02-19,Rabbanut,2,462
463,Product463,36.87,2024-03-08,2025-09-05,Rabbanut,3,463
464,Product464,6.48,2024-03-27,2024-04-16,Rabbanut,4,464
465,Product465,28.61,2024-12-11,2024-06-04,Rabbanut,5,465
466,Product466,93.61,2024-04-30,2025-07-14,Rabbanut,1,466
467,Product467,50.82,2025-08-21,2025-01-27,Rabbanut,2,467
468,Product468,50.39,2024-04-25,2024-03-19,Rabbanut,3,468
469,Product469,13.15,2025-12-06,2024-05-17,Rabbanut,4,469
470,Product470,45.79,2024-10-13,2025-10-20,Rabbanut,5,470
471,Product471,38.79,2025-08-31,2025-06-14,Rabbanut,1,471
472,Product472,74.9,2025-02-16,2025-08-07,Rabbanut,2,472
473,Product473,7.64,2024-09-14,2024-01-20,Rabbanut,3,473
474,Product474,64.0,2024-02-16,2025-03-13,Rabbanut,4,474
475,Product475,8.6,2025-05-29,2025-07-20,Rabbanut,5,475
476,Product476,68.6,2024-11-09,2024-06-13,Rabbanut,1,476
477,Product477,60.32,2025-06-01,2024-02-07,Rabbanut,2,477
478,Product478,51.68,2024-08-01,2024-07-02,Rabbanut,3,478
479,Product479,58.51,2025-02-15,2025-12-29,Rabbanut,4,479
480,Product480,77.93,2024-06-23,2025-10-16,Rabbanut,5,480
481,Product481,32.93,2025-05-09,2025-02-05,Rabbanut,1,481
482,Product482,70.13,2025-06-05,2025-08-31,Rabbanut,2,482
483,Product483,54.55,2025-09-28,2025-04-11,Rabbanut,3,483
484,Product484,43.68,2025-06-22,2024-06-26,Rabbanut,4,484
485,Product485,53.55,2025-11-25,2024-05-17,Rabbanut,5,485
486,Product486,34.61,2025-10-11,2025-02-05,Rabbanut,1,486
487,Product487,22.29,2025-02-23,2024-08-09,Rabbanut,2,487
488,Product488,31.71,2024-09-28,2025-01-24,Rabbanut,3,488
489,Product489,71.78,2025-09-29,2024-07-05,Rabbanut,4,489
490,Product490,46.75,2024-04-16,2025-01-07,Rabbanut,5,490
491,Product491,96.91,2024-04-12,2024-01-08,Rabbanut,1,491
492,Product492,87.72,2025-05-16,2024-01-18,Rabbanut,2,492
493,Product493,84.3,2025-08-25,2025-07-21,Rabbanut,3,493
494,Product494,97.63,2024-12-05,2025-10-11,Rabbanut,4,494
495,Product495,24.79,2025-09-15,2025-01-15,Rabbanut,5,495
496,Product496,40.38,2024-04-29,2024-12-14,Rabbanut,1,496
497,Product497,32.44,2024-12-31,2024-04-04,Rabbanut,2,497
498,Product498,22.69,2025-07-05,2025-12-09,Rabbanut,3,498
499,Product499,24.3,2025-08-04,2024-03-05,Rabbanut,4,499
500,Product500,54.6,2024-10-12,2025-08-11,Rabbanut,5,500
